"zip","city","county","pop"
"94568","Dublin","Alameda","55608"
"92223","Beaumont","Riverside","55580"
"95670","Rancho Cordova","Sacramento","55558"
"91405","Van Nuys","Los Angeles","55506"
"93313","Bakersfield","Kern","55221"
"91745","Hacienda Heights","Los Angeles","55202"
"94591","Vallejo","Solano","55157"
"92701","Santa Ana","Orange","55058"
"94539","Fremont","Alameda","54982"
"93215","Delano","Kern","54958"
"91406","Van Nuys","Los Angeles","54890"
"91801","Alhambra","Los Angeles","54768"
"92129","San Diego","San Diego","54762"
"92840","Garden Grove","Orange","54735"
"90723","Paramount","Los Angeles","54513"
"91304","Canoga Park","Los Angeles","54361"
"92234","Cathedral City","Riverside","54357"
"92399","Yucaipa","San Bernardino","54268"
"92584","Menifee","Riverside","54235"
"95350","Modesto","Stanislaus","54210"
"91913","Chula Vista","San Diego","54114"
"93308","Bakersfield","Kern","53981"
"90063","Los Angeles","Los Angeles","53980"
"90034","Los Angeles","Los Angeles","53861"
"91786","Upland","San Bernardino","53697"
"91344","Granada Hills","Los Angeles","53613"
"92870","Placentia","Orange","53600"
"90018","Los Angeles","Los Angeles","53490"
"95023","Hollister","San Benito","53423"
"92557","Moreno Valley","Riverside","53406"
"90002","Los Angeles","Los Angeles","53302"
"92505","Riverside","Riverside","53282"
"95125","San Jose","Santa Clara","53155"
"91605","North Hollywood","Los Angeles","53113"
"94601","Oakland","Alameda","53039"
"92025","Escondido","San Diego","52985"
"95648","Lincoln","Placer","52949"
"90220","Compton","Los Angeles","52817"
"92620","Irvine","Orange","52569"
"92833","Fullerton","Orange","52435"
"92056","Oceanside","San Diego","52337"
"93277","Visalia","Tulare","52271"
"95207","Stockton","San Joaquin","52269"
"92656","Aliso Viejo","Orange","52268"
"95616","Davis","Yolo","52212"
"95037","Morgan Hill","Santa Clara","51994"
"90221","Compton","Los Angeles","51688"
"93003","Ventura","Ventura","51629"
"90024","Los Angeles","Los Angeles","51627"
"92084","Vista","San Diego","51619"
"95124","San Jose","Santa Clara","51455"
"90047","Los Angeles","Los Angeles","51411"
"92024","Encinitas","San Diego","51381"
"92128","San Diego","San Diego","51357"
"90046","Los Angeles","Los Angeles","50900"
"92691","Mission Viejo","Orange","50839"
"92886","Yorba Linda","Orange","50784"
"92111","San Diego","San Diego","50693"
"91767","Pomona","Los Angeles","50606"
"92626","Costa Mesa","Orange","50605"
"93551","Palmdale","Los Angeles","50601"
"90703","Cerritos","Los Angeles","50589"
"92078","San Marcos","San Diego","50510"
"94086","Sunnyvale","Santa Clara","50477"
"92243","El Centro","Imperial","50402"
"92069","San Marcos","San Diego","50376"
"94550","Livermore","Alameda","50374"
"92026","Escondido","San Diego","50321"
"90057","Los Angeles","Los Angeles","50152"
"92127","San Diego","San Diego","49935"
"93638","Madera","Madera","49932"
"92544","Hemet","Riverside","49923"
"92064","Poway","San Diego","49805"
"94553","Martinez","Contra Costa","49784"
"91306","Winnetka","Los Angeles","49678"
"90638","La Mirada","Los Angeles","49227"
"90630","Cypress","Orange","49205"
"94014","Daly City","San Mateo","49170"
"90033","Los Angeles","Los Angeles","49155"
"93304","Bakersfield","Kern","49115"
"93611","Clovis","Fresno","49053"
"92618","Irvine","Orange","48997"
"95240","Lodi","San Joaquin","48799"
"95351","Modesto","Stanislaus","48542"
"90247","Gardena","Los Angeles","48293"
"95148","San Jose","Santa Clara","48273"
"94303","Palo Alto","San Mateo","48244"
"92028","Fallbrook","San Diego","48173"
"92122","San Diego","San Diego","48071"
"90032","Los Angeles","Los Angeles","48031"
"92879","Corona","Riverside","47872"
"95336","Manteca","San Joaquin","47855"
"95843","Antelope","Sacramento","47823"
"95060","Santa Cruz","Santa Cruz","47801"
"94577","San Leandro","Alameda","47682"
"95136","San Jose","Santa Clara","47476"
"94116","San Francisco","San Francisco","47346"
"92705","Santa Ana","Orange","47298"
"94551","Livermore","Alameda","47227"
"94560","Newark","Alameda","47171"
"92109","San Diego","San Diego","47111"
"93720","Fresno","Fresno","47081"
"91748","Rowland Heights","Los Angeles","47079"
"91352","Sun Valley","Los Angeles","47076"
"90025","Los Angeles","Los Angeles","46883"
"92843","Garden Grove","Orange","46873"
"92692","Mission Viejo","Orange","46800"
"90023","Los Angeles","Los Angeles","46680"
"92009","Carlsbad","San Diego","46612"
"91765","Diamond Bar","Los Angeles","46593"
"90065","Los Angeles","Los Angeles","46461"
"90620","Buena Park","Orange","46414"
"95008","Campbell","Santa Clara","46352"
"92040","Lakeside","San Diego","46306"
"95610","Citrus Heights","Sacramento","46305"
"95307","Ceres","Stanislaus","46283"
"92506","Riverside","Riverside","46241"
"92648","Huntington Beach","Orange","46228"
"90059","Los Angeles","Los Angeles","46185"
"93455","Santa Maria","Santa Barbara","46175"
"93010","Camarillo","Ventura","46063"
"92058","Oceanside","San Diego","46029"
"91367","Woodland Hills","Los Angeles","45970"
"90016","Los Angeles","Los Angeles","45899"
"94566","Pleasanton","Alameda","45893"
"90043","Los Angeles","Los Angeles","45873"
"93311","Bakersfield","Kern","45481"
"92236","Coachella","Riverside","45477"
"91790","West Covina","Los Angeles","45444"
"92104","San Diego","San Diego","45435"
"91733","South El Monte","Los Angeles","45365"
"95403","Santa Rosa","Sonoma","45096"
"92410","San Bernardino","San Bernardino","45052"
"95209","Stockton","San Joaquin","44980"
"91320","Newbury Park","Ventura","44968"
"92688","Rancho Santa Margarita","Orange","44832"
"90027","Los Angeles","Los Angeles","44770"
"95822","Sacramento","Sacramento","44741"
"92867","Orange","Orange","44655"
"94117","San Francisco","San Francisco","44650"
"93446","Paso Robles","San Luis Obispo","44636"
"90503","Torrance","Los Angeles","44605"
"92555","Moreno Valley","Riverside","44452"
"91789","Walnut","Los Angeles","44440"
"94403","San Mateo","San Mateo","44408"
"94546","Castro Valley","Alameda","44378"
"96003","Redding","Shasta","44328"
"94928","Rohnert Park","Sonoma","44323"
"91606","North Hollywood","Los Angeles","44295"
"92102","San Diego","San Diego","44010"
"94121","San Francisco","San Francisco","43616"
"93702","Fresno","Fresno","43601"
"94605","Oakland","Alameda","43399"
"94025","Menlo Park","San Mateo","43392"
"92374","Redlands","San Bernardino","43391"
"94521","Concord","Contra Costa","43281"
"92019","El Cajon","San Diego","43272"
"90241","Downey","Los Angeles","43215"
"91360","Thousand Oaks","Ventura","43121"
"94066","San Bruno","San Mateo","43101"
"95831","Sacramento","Sacramento","43094"
"95762","El Dorado Hills","El Dorado","43052"
"94531","Antioch","Contra Costa","43022"
"90604","Whittier","Los Angeles","42911"
"95380","Turlock","Stanislaus","42866"
"93726","Fresno","Fresno","42824"
"94010","Burlingame","San Mateo","42760"
"90242","Downey","Los Angeles","42694"
"94561","Oakley","Contra Costa","42473"
"90007","Los Angeles","Los Angeles","42433"
"94134","San Francisco","San Francisco","42418"
"92308","Apple Valley","San Bernardino","42207"
"90275","Rancho Palos Verdes","Los Angeles","42146"
"94118","San Francisco","San Francisco","42095"
"95678","Roseville","Placer","42053"
"91387","Canyon Country","Los Angeles","42034"
"93292","Visalia","Tulare","42031"
"95407","Santa Rosa","Sonoma","42026"
"92802","Anaheim","Orange","42016"
"90806","Long Beach","Los Angeles","41990"
"90501","Torrance","Los Angeles","41975"
"92545","Hemet","Riverside","41879"
"94578","San Leandro","Alameda","41865"
"92054","Oceanside","San Diego","41807"
"95132","San Jose","Santa Clara","41790"
"95621","Citrus Heights","Sacramento","41740"
"94901","San Rafael","Marin","41713"
"92591","Temecula","Riverside","41609"
"95210","Stockton","San Joaquin","41509"
"90815","Long Beach","Los Angeles","41312"
"95695","Woodland","Yolo","41278"
"93635","Los Banos","Merced","41180"
"92101","San Diego","San Diego","41159"
"93637","Madera","Madera","41108"
"91016","Monrovia","Los Angeles","41105"
"94804","Richmond","Contra Costa","40931"
"92253","La Quinta","Riverside","40929"
"95991","Yuba City","Sutter","40861"
"95628","Fair Oaks","Sacramento","40855"
"91311","Chatsworth","Los Angeles","40839"
"93706","Fresno","Fresno","40586"
"90045","Los Angeles","Los Angeles","40567"
"95404","Santa Rosa","Sonoma","40497"
"93454","Santa Maria","Santa Barbara","40432"
"90278","Redondo Beach","Los Angeles","40252"
"90605","Whittier","Los Angeles","40192"
"95835","Sacramento","Sacramento","40170"
"91942","La Mesa","San Diego","40151"
"92231","Calexico","Imperial","40064"
"95926","Chico","Butte","40000"
"90031","Los Angeles","Los Angeles","39916"
"95833","Sacramento","Sacramento","39905"
"93552","Palmdale","Los Angeles","39905"
"91739","Rancho Cucamonga","San Bernardino","39875"
"91401","Van Nuys","Los Angeles","39755"
"95129","San Jose","Santa Clara","39741"
"90005","Los Angeles","Los Angeles","39732"
"92083","Vista","San Diego","39509"
"91701","Rancho Cucamonga","San Bernardino","39461"
"92806","Anaheim","Orange","39442"
"93534","Lancaster","Los Angeles","39367"
"90808","Long Beach","Los Angeles","39330"
"92337","Fontana","San Bernardino","39240"
"90804","Long Beach","Los Angeles","39239"
"95765","Rocklin","Placer","39214"
"90020","Los Angeles","Los Angeles","39189"
"95301","Atwater","Merced","39186"
"95337","Manteca","San Joaquin","39177"
"92307","Apple Valley","San Bernardino","39149"
"95826","Sacramento","Sacramento","39145"
"95838","Sacramento","Sacramento","39053"
"94061","Redwood City","San Mateo","39023"
"94044","Pacifica","San Mateo","38984"
"94611","Oakland","Alameda","38975"
"90802","Long Beach","Los Angeles","38962"
"91763","Montclair","San Bernardino","38863"
"95401","Santa Rosa","Sonoma","38839"
"92675","San Juan Capistrano","Orange","38803"
"94954","Petaluma","Sonoma","38763"
"94520","Concord","Contra Costa","38753"
"95382","Turlock","Stanislaus","38700"
"95050","Santa Clara","Santa Clara","38699"
"95691","West Sacramento","Yolo","38690"
"91776","San Gabriel","Los Angeles","38664"
"93021","Moorpark","Ventura","38581"
"93245","Lemoore","Kings","38480"
"94555","Fremont","Alameda","38478"
"92508","Riverside","Riverside","38428"
"95205","Stockton","San Joaquin","38350"
"92543","Hemet","Riverside","38314"
"90301","Inglewood","Los Angeles","38234"
"94606","Oakland","Alameda","38220"
"92037","La Jolla","San Diego","38168"
"95120","San Jose","Santa Clara","38122"
"93711","Fresno","Fresno","38007"
"90036","Los Angeles","Los Angeles","37965"
"93305","Bakersfield","Kern","37902"
"91104","Pasadena","Los Angeles","37874"
"91001","Altadena","Los Angeles","37818"
"95928","Chico","Butte","37735"
"92821","Brea","Orange","37712"
"91205","Glendale","Los Angeles","37638"
"95121","San Jose","Santa Clara","37531"
"92065","Ramona","San Diego","37505"
"95825","Sacramento","Sacramento","37473"
"92831","Fullerton","Orange","37359"
"94590","Vallejo","Solano","37280"
"95688","Vacaville","Solano","37260"
"94588","Pleasanton","Alameda","37253"
"90810","Long Beach","Los Angeles","37251"
"90505","Torrance","Los Angeles","37220"
"95993","Yuba City","Sutter","37077"
"94404","San Mateo","San Mateo","36985"
"95128","San Jose","Santa Clara","36975"
"92869","Orange","Orange","36846"
"91601","North Hollywood","Los Angeles","36841"
"93705","Fresno","Fresno","36808"
"91711","Claremont","Los Angeles","36777"
"95062","Santa Cruz","Santa Cruz","36737"
"95973","Chico","Butte","36682"
"90029","Los Angeles","Los Angeles","36668"
"91362","Thousand Oaks","Ventura","36604"
"95476","Sonoma","Sonoma","36586"
"90012","Los Angeles","Los Angeles","36552"
"94040","Mountain View","Santa Clara","36526"
"95667","Placerville","El Dorado","36487"
"95820","Sacramento","Sacramento","36437"
"90049","Los Angeles","Los Angeles","36418"
"91326","Northridge","Los Angeles","36339"
"95126","San Jose","Santa Clara","36206"
"91350","Santa Clarita","Los Angeles","36173"
"91340","San Fernando","Los Angeles","36156"
"92139","San Diego","San Diego","36105"
"93012","Camarillo","Ventura","36052"
"94401","San Mateo","San Mateo","36001"
"92883","Corona","Riverside","35933"
"90062","Los Angeles","Los Angeles","35916"
"93405","San Luis Obispo","San Luis Obispo","35898"
"94603","Oakland","Alameda","35862"
"95340","Merced","Merced","35827"
"95821","Sacramento","Sacramento","35812"
"92706","Santa Ana","Orange","35748"
"94124","San Francisco","San Francisco","35747"
"91752","Mira Loma","Riverside","35694"
"92807","Anaheim","Orange","35687"
"93657","Sanger","Fresno","35666"
"90621","Buena Park","Orange","35598"
"94952","Petaluma","Sonoma","35503"
"90266","Manhattan Beach","Los Angeles","35500"
"95660","North Highlands","Sacramento","35461"
"92660","Newport Beach","Orange","35446"
"95361","Oakdale","Stanislaus","35308"
"92649","Huntington Beach","Orange","35278"
"92240","Desert Hot Springs","Riverside","35278"
"94583","San Ramon","Contra Costa","35231"
"91768","Pomona","Los Angeles","35191"
"93612","Clovis","Fresno","35140"
"91780","Temple City","Los Angeles","35133"
"94621","Oakland","Alameda","35035"
"94523","Pleasant Hill","Contra Costa","35005"
"93561","Tehachapi","Kern","34979"
"94114","San Francisco","San Francisco","34918"
"92394","Victorville","San Bernardino","34915"
"94063","Redwood City","San Mateo","34867"
"90277","Redondo Beach","Los Angeles","34827"
"90260","Lawndale","Los Angeles","34827"
"91206","Glendale","Los Angeles","34739"
"92131","San Diego","San Diego","34727"
"92103","San Diego","San Diego","34700"
"92260","Palm Desert","Riverside","34660"
"91722","Covina","Los Angeles","34631"
"94115","San Francisco","San Francisco","34604"
"91325","Northridge","Los Angeles","34575"
"93955","Seaside","Monterey","34566"
"96001","Redding","Shasta","34293"
"92301","Adelanto","San Bernardino","34250"
"92672","San Clemente","Orange","34218"
"96002","Redding","Shasta","34196"
"91750","La Verne","Los Angeles","34129"
